zeta,lambda,M_max,omega_M_max,Q_max,C_eff_max,R99_M_max,B_min
-0.14,-13.75,0.38757,0.75613,0.49919,0.02895,21.96709,-0.002671322
-0.14,-12.5,0.4034,0.75373,0.51989,0.03199,20.9679,-0.003019804
-0.14,-11.25,0.42129,0.75102,0.54334,0.03576,20.00576,-0.003458416
-0.14,-10,0.44173,0.74762,0.57018,0.04055,18.9388,-0.004002392
-0.14,-9.375,0.4531,0.74541,0.58514,0.04347,18.3056,-0.004331528
-0.14,-8.75,0.46535,0.74324,0.6013,0.04687,17.72854,-0.004710015
-0.14,-8.125,0.47861,0.74041,0.61881,0.05085,17.12592,-0.005142577
-0.14,-7.5,0.493,0.73775,0.63786,0.05563,16.57621,-0.005641195
-0.14,-6.875,0.50868,0.73449,0.65867,0.06146,15.94826,-0.006226025
-0.14,-6.25,0.52584,0.73087,0.6815,0.06881,15.32659,-0.006913057
-0.14,-5.625,0.54468,0.72662,0.70663,0.07856,14.66619,-0.007722447
-0.14,-5,0.56543,0.72153,0.73441,0.09441,13.94452,-0.008689072
-0.14,-4.375,0.58832,0.71605,0.76519,0.094,13.30697,-0.009856539
-0.14,-3.75,0.6136,0.70941,0.79931,0.09558,12.60205,-0.011253735
-0.14,-3.125,0.64141,0.70196,0.83703,0.09784,11.92094,-0.012936451
-0.14,-2.5,0.67174,0.69468,0.87839,0.10047,11.36745,-0.014931233
-0.14,-1.875,0.70434,0.68704,0.92307,0.10319,10.86175,-0.017257013
-0.14,-1.25,0.73867,0.6802,0.97031,0.1059,10.48141,-0.019856219
-0.14,-0.625,0.77403,0.67404,1.01913,0.1085,10.20041,-0.022662752
-0.14,0,0.80974,0.66969,1.06855,0.11098,10.06354,-0.025590508
-0.14,5,1.07546,0.65686,1.43707,0.12615,10.5387,-0.047959296
-0.14,10,1.29731,0.65417,1.74415,0.13581,11.53591,-0.06615914
-0.14,15,1.48843,0.65292,2.00812,0.14257,12.51143,-0.081391799
-0.14,20,1.65836,0.6517,2.24247,0.14766,13.39213,-0.094661621
-0.13,-20,0.32344,0.78654,0.40362,0.02022,25.34756,-0.001630408
-0.13,-17.5,0.34309,0.78387,0.42841,0.02319,23.69207,-0.001945959
-0.13,-15,0.36676,0.78056,0.45836,0.0272,22.04154,-0.002397307
-0.13,-13.75,0.38057,0.77833,0.47586,0.02979,21.06706,-0.002683531
-0.13,-12.5,0.39603,0.7758,0.49549,0.03293,20.11619,-0.003033283
-0.13,-11.25,0.4135,0.77297,0.51772,0.03681,19.19895,-0.003468988
-0.13,-10,0.43343,0.76934,0.54315,0.04176,18.15751,-0.00401804
-0.13,-9.375,0.4445,0.76703,0.5573,0.04479,17.55442,-0.004348162
-0.13,-8.75,0.45643,0.76476,0.57258,0.0483,17.00466,-0.004722533
-0.13,-8.125,0.46933,0.76181,0.58913,0.05244,16.43032,-0.005149746
-0.13,-7.5,0.48331,0.75902,0.60711,0.05738,15.90566,-0.005648663
-0.13,-6.875,0.49854,0.75562,0.62674,0.06343,15.30635,-0.006228415
-0.13,-6.25,0.51517,0.75184,0.64823,0.07112,14.71098,-0.00691008
-0.13,-5.625,0.5334,0.74739,0.67186,0.08149,14.07986,-0.007707489
-0.13,-5,0.55344,0.74225,0.69793,0.09382,13.43051,-0.008663935
-0.13,-4.375,0.57551,0.7362,0.72674,0.09422,12.74111,-0.00980298
-0.13,-3.75,0.59979,0.72945,0.75858,0.0959,12.1012,-0.011170672
-0.13,-3.125,0.62641,0.72223,0.79366,0.09818,11.50404,-0.012803658
-0.13,-2.5,0.65534,0.71441,0.83197,0.10075,10.94189,-0.014728044
-0.13,-1.875,0.68631,0.70703,0.87318,0.10341,10.49925,-0.016941945
-0.13,-1.25,0.71882,0.69997,0.91661,0.10604,10.12761,-0.019416022
-0.13,-0.625,0.75223,0.69447,0.9614,0.10855,9.91482,-0.02207321
