phi0,omega,M,Q,R_eff,C_eff
0.374,0.95641,0.32951,0.28382,5.07869,0.06488
0.375,0.95603,0.32925,0.28355,5.0707,0.06493
0.376,0.95565,0.32899,0.28328,5.06267,0.06498
0.377,0.95527,0.32873,0.283,5.05459,0.06504
0.378,0.95489,0.32847,0.28273,5.04647,0.06509
0.379,0.9545,0.32821,0.28246,5.0383,0.06514
0.38,0.95412,0.32795,0.28219,5.03008,0.0652
0.381,0.95374,0.3277,0.28192,5.02181,0.06525
0.382,0.95336,0.32744,0.28165,5.0135,0.06531
0.383,0.95298,0.32718,0.28138,5.00514,0.06537
0.384,0.9526,0.32693,0.28111,4.99673,0.06543
0.385,0.95222,0.32667,0.28084,4.9889,0.06548
0.386,0.95184,0.32641,0.28057,4.98134,0.06553
0.387,0.95146,0.32616,0.2803,4.97373,0.06558
0.388,0.95108,0.32591,0.28004,4.96608,0.06563
0.389,0.9507,0.32565,0.27977,4.95839,0.06568
0.39,0.95032,0.3254,0.2795,4.95065,0.06573
0.391,0.94994,0.32515,0.27924,4.94288,0.06578
0.392,0.94956,0.32489,0.27897,4.93506,0.06583
0.393,0.94918,0.32464,0.2787,4.92719,0.06589
0.394,0.9488,0.32439,0.27844,4.91929,0.06594
0.395,0.94842,0.32414,0.27817,4.91134,0.066
0.396,0.94804,0.32389,0.27791,4.90334,0.06605
0.397,0.94766,0.32364,0.27764,4.8956,0.06611
0.398,0.94728,0.32339,0.27738,4.88842,0.06615
0.399,0.9469,0.32314,0.27712,4.8812,0.0662
0.4,0.94652,0.32289,0.27685,4.87395,0.06625
0.401,0.94614,0.32264,0.27659,4.86666,0.0663
0.402,0.94576,0.32239,0.27633,4.85933,0.06635
0.403,0.94538,0.32215,0.27607,4.85196,0.0664
0.404,0.94501,0.3219,0.27581,4.84455,0.06645
0.405,0.94463,0.32165,0.27555,4.8371,0.0665
0.406,0.94425,0.32141,0.27528,4.82961,0.06655
0.407,0.94387,0.32116,0.27502,4.82208,0.0666
0.408,0.94349,0.32092,0.27477,4.81451,0.06666
0.409,0.94311,0.32067,0.27451,4.8069,0.06671
0.41,0.94273,0.32043,0.27425,4.79955,0.06676
0.411,0.94235,0.32019,0.27399,4.79274,0.06681
0.412,0.94198,0.31995,0.27373,4.78589,0.06685
0.413,0.9416,0.3197,0.27347,4.779,0.0669
0.414,0.94122,0.31946,0.27322,4.77208,0.06694
0.415,0.94084,0.31922,0.27296,4.76512,0.06699
0.416,0.94046,0.31898,0.2727,4.75813,0.06704
0.417,0.94008,0.31874,0.27245,4.7511,0.06709
0.418,0.93971,0.3185,0.27219,4.74404,0.06714
0.419,0.93933,0.31826,0.27194,4.73694,0.06719
0.42,0.93895,0.31802,0.27168,4.72981,0.06724
0.421,0.93857,0.31778,0.27143,4.72263,0.06729
0.422,0.93819,0.31755,0.27117,4.71542,0.06734
