phi0,omega,M,Q,R_eff,C_eff
1.5402,0.86957,0.24636,0.18011,3.74397,0.0658
1.5412,0.86951,0.24641,0.18016,3.7438,0.06582
1.5422,0.86944,0.24646,0.18021,3.74366,0.06583
1.5432,0.86938,0.24651,0.18027,3.74356,0.06585
1.5442,0.86932,0.24657,0.18032,3.7435,0.06587
1.5452,0.86926,0.24662,0.18037,3.74346,0.06588
1.5462,0.8692,0.24667,0.18043,3.74346,0.06589
1.5472,0.86914,0.24673,0.18048,3.7435,0.06591
1.5482,0.86909,0.24678,0.18054,3.74357,0.06592
1.5492,0.86904,0.24684,0.1806,3.74368,0.06593
1.54962,0.86902,0.24686,0.18062,3.74374,0.06594
1.55062,0.86897,0.24692,0.18068,3.7439,0.06595
1.55162,0.86892,0.24697,0.18073,3.74411,0.06596
1.55262,0.86888,0.24703,0.18079,3.74435,0.06597
1.55362,0.86884,0.24709,0.18085,3.74463,0.06598
1.55462,0.8688,0.24714,0.18091,3.74495,0.06599
1.55562,0.86876,0.2472,0.18097,3.74531,0.066
1.55662,0.86873,0.24726,0.18103,3.74572,0.06601
1.55762,0.8687,0.24731,0.18108,3.74616,0.06602
1.55862,0.86867,0.24737,0.18114,3.74665,0.06602
1.55962,0.86865,0.24743,0.1812,3.74719,0.06603
1.56062,0.86863,0.24749,0.18126,3.74777,0.06604
1.56162,0.86861,0.24754,0.18132,3.7484,0.06604
1.56262,0.8686,0.2476,0.18138,3.74907,0.06604
1.56304,0.86859,0.24763,0.18141,3.74937,0.06604
1.56404,0.86858,0.24768,0.18147,3.75011,0.06605
1.56504,0.86858,0.24774,0.18153,3.7509,0.06605
1.56604,0.86858,0.2478,0.18159,3.75174,0.06605
1.56704,0.86858,0.24786,0.18165,3.75263,0.06605
1.56804,0.86858,0.24791,0.1817,3.75357,0.06605
1.56904,0.86859,0.24797,0.18176,3.75456,0.06605
1.57004,0.86861,0.24803,0.18182,3.7556,0.06604
1.57104,0.86862,0.24808,0.18188,3.7567,0.06604
1.57204,0.86864,0.24814,0.18194,3.75785,0.06603
1.57304,0.86867,0.2482,0.182,3.75906,0.06603
1.57404,0.8687,0.24825,0.18206,3.76032,0.06602
1.57504,0.86874,0.24831,0.18212,3.76163,0.06601
1.57604,0.86878,0.24837,0.18218,3.76301,0.066
1.57704,0.86882,0.24842,0.18224,3.76444,0.06599
1.57804,0.86887,0.24848,0.1823,3.76593,0.06598
1.57904,0.86892,0.24853,0.18235,3.76748,0.06597
1.58004,0.86898,0.24859,0.18241,3.76908,0.06595
1.58104,0.86905,0.24864,0.18247,3.77075,0.06594
1.58204,0.86912,0.2487,0.18253,3.77249,0.06592
1.58304,0.86919,0.24875,0.18258,3.77428,0.06591
1.58404,0.86927,0.2488,0.18264,3.77614,0.06589
1.58504,0.86936,0.24886,0.1827,3.77806,0.06587
1.58604,0.86945,0.24891,0.18275,3.78005,0.06585
1.58704,0.86955,0.24896,0.18281,3.7821,0.06583
1.58804,0.86965,0.24901,0.18286,3.78422,0.0658
1.58904,0.86976,0.24906,0.18291,3.78641,0.06578
1.58952,0.86981,0.24908,0.18294,3.78748,0.06577
1.59052,0.86993,0.24913,0.18299,3.78978,0.06574
1.59152,0.87006,0.24918,0.18305,3.79214,0.06571
1.59252,0.87019,0.24923,0.1831,3.79457,0.06568
1.59352,0.87033,0.24928,0.18315,3.79708,0.06565
1.59452,0.87047,0.24933,0.1832,3.79966,0.06562
1.59552,0.87062,0.24937,0.18325,3.80237,0.06558
1.59652,0.87078,0.24942,0.1833,3.80547,0.06554
1.59752,0.87095,0.24946,0.18335,3.80866,0.0655
1.59852,0.87112,0.2495,0.18339,3.81194,0.06545
1.59952,0.87131,0.24955,0.18344,3.8153,0.06541
1.6,0.8714,0.24957,0.18346,3.81695,0.06538
